t,ytt,x,xt,xtt,xtt_ytt,f,
53.12,0,-0.9121016697533982,4.484046032982517,17.5519363413233,17.5519363413233,-0.9748304536030128,
53.14,0,-0.8158187904991875,5.130755143573779,13.507037035074475,13.507037035074475,-0.7822646950945913,
53.16,0,-0.7074415692538893,5.691995722340492,9.016893122454757,9.016893122454757,-0.565510252603995,
53.18,0,-0.5887635985488471,6.15959194847414,4.155395010259268,4.155395010259268,-0.3281543111939105,
53.2,0,-0.46172683649095736,6.526900687434056,-0.9982874656773886,-0.9982874656773886,-0.07408078707813104,
53.22,0,-0.32838998164683114,6.788904350453457,-4.192402688595329,-4.192402688595329,0.08273107909057009,
53.24,0,-0.19089525133449498,6.9422775171085895,-6.581930971733938,-6.581930971733938,0.2008567843744951,
53.26,0,-0.05143409727137624,6.985426471302217,-8.963253354080944,-8.963253354080944,0.3206719012592908,
53.28,0,0.0877875947879215,6.918501232960099,-11.299017820851125,-11.299017820851125,0.4402812894006954,
53.3,0,0.22458427078937748,6.743380103004568,-13.552868699518475,-13.552868699518475,0.5578072760073162,
53.32,0,0.35682489353824354,6.463627170889308,-15.690010370437317,-15.690010370437317,0.6714190253006178,
53.34,0,0.4824660145466293,6.0844236553978,-17.67774223272089,-17.67774223272089,0.7793609514970936,
53.36,0,0.5995832213311045,5.612474353980875,-19.485956736287125,-19.485956736287125,0.8799797360924926,
53.38,0,0.7064004782853763,5.055890857406667,-21.087592932771614,-21.087592932771614,0.9717495354553815,
53.4,0,0.8013169159673454,4.424053539098452,-22.45903875355532,-22.45903875355532,1.0532949962795943,
53.42,0,0.8829306670723674,3.7274546469195293,-23.580476079733813,-23.580476079733813,1.1234117337592595,
53.44,0,0.9500593967824875,2.9775251045844904,-24.436163612249256,-24.436163612249256,1.1810839698064795,
53.46,0,1.001757229763417,2.1864478662352145,-25.014653565141952,-25.014653565141952,1.2254990755247162,
53.48,0,1.0373278349307133,1.3669608576279995,-25.308939274475755,-25.308939274475755,1.2560588127104104,
53.5,0,1.0563334912673719,0.5321526782003813,-25.316531922735287,-25.316531922735287,1.2723871225594625,
53.52,0,1.05860002244532,-0.30474567182129064,-25.039465705702295,-25.039465705702295,1.2743343651434869,
53.54,0,1.044217553752887,-1.1305697371793442,-24.160340262454447,-24.160340262454447,1.245569427758621,
53.56,0,1.0135371108165576,-1.9324279383451635,-22.646831503846983,-22.646831503846983,1.184208541885962,
53.58,0,0.967163144789723,-2.6979020652019434,-20.527483759855766,-20.527483759855766,1.0914606098322928,
53.6,0,0.9059421320455949,-3.4152388274798944,-17.840145464278713,-17.840145464278713,0.9690185843440366,
53.62,0,0.830947456974086,-4.0735295196158585,-14.631304619421686,-14.631304619421686,0.8190292342010188,
53.64,0,0.7434608433128118,-4.66287506654826,-10.955293513630576,-10.955293513630576,0.6440560068784704,
53.66,0,0.6449506516755876,-5.174533967175236,-6.873376168688535,-6.873376168688535,0.44703562360402205,
53.68,0,0.5370474077917667,-5.601050939556641,-2.4527337353304537,-2.4527337353304537,0.23122913583638027,
53.7,0,0.42151696674084604,-5.936364391635742,2.2346354558175774,2.2346354558175774,0.00016825373453888126,
53.72,0,0.3002317525640552,-6.175891188028095,4.45531676499955,4.45531676499955,-0.10775815079697092,
53.74,0,0.17514053957255843,-6.316587551621653,6.703689796933478,6.703689796933478,-0.2189749566205832,
53.76,0,0.04823726108098483,-6.356985322407867,8.946052623966372,8.946052623966372,-0.3318028439265967,
53.78,0,-0.07847065707312888,-6.297203188974066,11.147219972669273,11.147219972669273,-0.44445703915466717,
53.8,0,-0.2029939371330797,-6.138932904187939,13.272918096932614,13.272918096932614,-0.5551689039431895,
53.82,0,-0.32339256722950727,-5.885400889549009,15.290316415916676,15.290316415916676,-0.6622136015253732,
53.84,0,-0.4378059114156771,-5.541306016319638,17.168532484627857,17.168532484627857,-0.7639368671303549,
53.86,0,-0.5444813464338008,-5.112734719921817,18.879102563691355,18.879102563691355,-0.8587804685219771,
53.88,0,-0.6418009863581874,-4.607054951522798,20.39641065346134,20.39641065346134,-0.9453059664962442,
53.9,0,-0.7283060895993873,-4.032790791931034,21.698069563782013,21.698069563782013,-1.0222164147991322,
53.92,0,-0.8027187822126148,-3.3994798430347,22.765248392583583,22.765248392583583,-1.08837567400897,
53.94,0,-0.8639607763676885,-2.7175157667136096,23.5829416707496,23.5829416707496,-1.1428250538599642,
53.96,0,-0.9111688124598789,-1.9979785567060753,24.1401763828137,24.1401763828137,-1.1847970426017802,
53.98,0,-0.9437066068564093,-1.2524553022226446,24.430154077566847,24.430154077566847,-1.2137259295698324,
54,0,-0.961173143811878,-0.49285433076300067,24.450326323403857,24.450326323403857,-1.2292551774085223,
54.02,0,-0.9634072087365513,0.26878430007544435,24.20240282358707,24.20240282358707,-1.2312414525351503,
54.04,0,-0.9504881198269857,1.0204789569541415,23.40899542713228,23.40899542713228,-1.205403274716019,
54.06,0,-0.9227326751200003,1.7504942388907672,22.038045112586417,22.038045112586417,-1.1498923853020484,
54.08,0,-0.8806883913634594,2.447523506013203,20.11542947757812,20.11542947757812,-1.0658038177889666,
54.1,0,-0.8251231687838486,3.100863300863063,17.67549911632539,17.67549911632539,-0.9546733726297449,
54.12,0,-0.7570115709772757,3.700576982763469,14.760474282739596,14.760474282739596,-0.8184501770165991,
54.14,0,-0.6775179609099395,4.237645085369344,11.419722442948466,11.419722442948466,-0.6594629568819268,
54.16,0,-0.5879767815985391,4.704100134817137,7.708928962517341,7.708928962517341,-0.4803805982591258,
54.18,0,-0.4898703127342747,5.0931439270302885,3.6891747606600385,3.6891747606600385,-0.28416766053059717,
54.2,0,-0.3848042716820073,5.39924555335986,-0.5740638785014003,-0.5740638785014003,-0.07403557842606234,
54.22,0,-0.27448165838632843,5.618218779059077,-3.3700799066309592,-3.3700799066309592,0.06343016774747817,
54.24,0,-0.1606752683057217,5.747277713966476,-5.362570300679217,-5.362570300679217,0.16190606621507442,
54.26,0,-0.04519931523721893,5.785070063796645,-7.349170478621557,-7.349170478621557,0.2618266262272892,
54.28,0,0.0701193834403083,5.731687608020383,-9.298712627599325,-9.298712627599325,0.3616111150801576,
