t,ytt,x,xt,h,f,xtt,xtt+ytt,K
1.44,3.5,0.09401789,1.6167237,0.03,0.18803578,-7.874876043,-4.374876043,2
1.46,2.3,0.12478131,1.459618342,0.03,0.249562621,-7.835659765,-5.535659765,2
1.48,0.6,0.152473145,1.309565128,0.03,0.30494629,-7.1696616,-6.5696616,2
1.5,-0.2,0.177218481,1.164968516,0.03,0.354436963,-7.289999646,-7.489999646,2
1.52,0,0.198959473,1.009130639,0.03,0.397918946,-8.293788005,-8.293788005,2
1.54,0.7,0.217346614,0.829583421,0.03,0.434693227,-9.660933747,-8.960933747,2
1.56,1.5,0.231875506,0.623305847,0.03,0.463751012,-10.96682373,-9.46682373,2
1.58,1.7,0.242095687,0.398712255,0.03,0.484191375,-11.49253544,-9.792535442,2
1.6,1.7,0.24775754,0.167473034,0.03,0.49551508,-11.63138662,-9.931386622,2
1.62,2.6,0.248695737,-0.073653333,0.03,0.497391474,-12.48125007,-9.881250067,2
1.64,3.7,0.244641516,-0.331768767,0.03,0.489283032,-13.33029334,-9.630293339,2
1.66,4.6,0.235296705,-0.602712377,0.03,0.470593409,-13.76406772,-9.164067719,2
1.68,7.2,0.220299066,-0.897051469,0.03,0.440598133,-15.66984144,-8.469841441,2
1.7,8.8,0.199158624,-1.216992753,0.03,0.398317248,-16.32428693,-7.524286934,2
1.72,8.4,0.171714319,-1.527437762,0.03,0.343428638,-14.72021403,-6.320214033,2
1.74,7.7,0.138434607,-1.800533389,0.03,0.276869215,-12.58934864,-4.88934864,2
1.76,6.6,0.100177399,-2.025187475,0.03,0.200354798,-9.876059919,-3.276059919,2
1.78,4.2,0.05811297,-2.181255375,0.03,0.116225941,-5.730730161,-1.530730161,2
1.8,4.2,0.013523632,-2.277678453,0.03,0.027047264,-3.911577575,0.288422425,2
1.82,5.5,-0.032755913,-2.350276066,0.03,-0.065511826,-3.348183798,2.151816202,2
1.84,7.4,-0.080430124,-2.417145034,0.03,-0.160860248,-3.338712914,4.061287086,2
1.86,6.5,-0.129155885,-2.455431039,0.03,-0.25831177,-0.489887653,6.010112347,2
1.88,4.3,-0.177948415,-2.423821938,0.03,-0.355896829,3.650797777,7.950797777,2
1.9,2,-0.225279032,-2.309239767,0.03,-0.450558064,7.807419293,9.807419293,2
1.92,1.9,-0.269721212,-2.134978278,0.03,-0.539442424,9.618729647,11.51872965,2
1.94,2.4,-0.310393035,-1.932204044,0.03,-0.620786071,10.65869379,13.05869379,2
1.96,2.8,-0.346809256,-1.709418061,0.03,-0.693618513,11.61990448,14.41990448,2
1.98,4.8,-0.378755915,-1.48524782,0.03,-0.757511831,10.79711957,15.59711957,2
2,5.8,-0.406301155,-1.269276106,0.03,-0.812602309,10.80005184,16.60005184,2
2.02,7.3,-0.429592856,-1.059894068,0.03,-0.859185713,10.13815196,17.43815196,2
2.04,8.5,-0.448815114,-0.862331737,0.03,-0.897630229,9.618081129,18.11808113,2
2.06,6.1,-0.46384624,-0.640780854,0.03,-0.927692481,12.53700716,18.63700716,2
2.08,2.9,-0.473803499,-0.35494497,0.03,-0.947606997,16.04658128,18.94658128,2
2.1,0.2,-0.477419582,-0.006663348,0.03,-0.954839163,18.78158089,18.98158089,2
2.12,-0.6,-0.473744172,0.374204284,0.03,-0.947488345,19.30518233,18.70518233,2
2.14,-1.3,-0.46238824,0.761388951,0.03,-0.92477648,19.41328435,18.11328435,2
2.16,-2.3,-0.443267885,1.150646572,0.03,-0.88653577,19.5124778,17.2124778,2
2.18,-2.2,-0.416482875,1.527854363,0.03,-0.832965751,18.20830126,16.00830126,2
2.2,-1.7,-0.382482576,1.872175568,0.03,-0.764965152,16.22381922,14.52381922,2
2.22,-1.3,-0.342007072,2.175374803,0.03,-0.684014145,14.09610434,12.79610434,2
2.24,-2.6,-0.295744423,2.450890095,0.03,-0.591488847,13.45542483,10.85542483,2
2.26,-5.2,-0.243990241,2.724528191,0.03,-0.487980481,13.90838484,8.708384838,2
2.28,-9.2,-0.186555061,3.018989797,0.03,-0.373110121,15.53777576,6.337775762,2
2.3,-11.1,-0.123139166,3.322599626,0.03,-0.246278333,14.82320705,3.723207052,2
2.32,-9.8,-0.05413639,3.577677978,0.03,-0.108272781,10.68462822,0.884628223,2
2.34,-7.7,0.019045568,3.74051784,0.03,0.038091136,5.599357985,-2.100642015,2
2.36,-3.5,0.094252751,3.780200501,0.03,0.188505502,-1.631091923,-5.131091923,2
2.38,-0.3,0.168914295,3.685953867,0.03,0.33782859,-7.793571468,-8.093571468,2
2.4,0.1,0.240754597,3.498076327,0.03,0.481509194,-10.99418258,-10.89418258,2
2.42,0.3,0.308237956,3.250259595,0.03,0.616475912,-13.78749063,-13.48749063,2
2.44,1.4,0.37014061,2.94000584,0.03,0.740281221,-17.2378848,-15.8378848,2
2.46,2.6,0.425167609,2.562693985,0.03,0.850335217,-20.4933007,-17.8933007,2
2.48,7.5,0.471663494,2.086894562,0.03,0.943326988,-27.08664167,-19.58664167,2
2.5,10.1,0.507600122,1.506768239,0.03,1.015200244,-30.92599055,-20.82599055,2
2.52,10.3,0.531457972,0.879016753,0.03,1.062915944,-31.84915806,-21.54915806,2
2.54,8.8,0.542797375,0.254923544,0.03,1.08559475,-30.56016287,-21.76016287,2
2.56,8.7,0.541821195,-0.352541558,0.03,1.08364239,-30.18634729,-21.48634729,2
2.58,8.7,0.528807372,-0.948840762,0.03,1.057614743,-29.44357317,-20.74357317,2
2.6,8.2,0.504111816,-1.520714815,0.03,1.008223632,-27.74383214,-19.54383214,2
2.62,7.6,0.46837141,-2.053325797,0.03,0.93674282,-25.51726599,-17.91726599,2
2.64,5,0.422661973,-2.517617857,0.03,0.845323947,-20.91194001,-15.91194001,2
2.66,2,0.368657931,-2.882786375,0.03,0.737315862,-15.60491185,-13.60491185,2
2.68,-1,0.308432747,-3.13973201,0.03,0.616865494,-10.08965159,-11.08965159,2
2.7,-2.6,0.24404406,-3.299136745,0.03,0.488088119,-5.850821952,-8.450821952,2
2.72,-3.8,0.177280741,-3.377195141,0.03,0.354561481,-1.955017621,-5.755017621,2
2.74,-5,0.109735435,-3.377335402,0.03,0.21947087,1.940991476,-3.059008524,2
2.76,-6.3,0.042970508,-3.299157307,0.03,0.085941016,5.876818029,-0.423181971,2
2.78,-5.7,-0.021645129,-3.162406441,0.03,-0.043290259,7.798268578,2.098268578,2
2.8,-5,-0.083165886,-2.989669187,0.03,-0.166331771,9.475456809,4.475456809,2
2.82,-4.1,-0.140932636,-2.787005857,0.03,-0.281865272,10.79087627,6.690876273,2
2.84,-1.6,-0.194560504,-2.575780921,0.03,-0.389121008,10.33161725,8.731617247,2
2.86,0.5,-0.244032454,-2.371414132,0.03,-0.488064909,10.10506166,10.60506166,2
2.88,0.8,-0.289298725,-2.155212935,0.03,-0.57859745,11.51505803,12.31505803,2
2.9,0.3,-0.329897844,-1.904698944,0.03,-0.659795688,13.53634111,13.83634111,2
2.92,-1.7,-0.364955596,-1.601076291,0.03,-0.729911192,16.82592422,15.12592422,2
2.94,-4.7,-0.393211832,-1.224547321,0.03,-0.786423665,20.82697271,16.12697271,2
2.96,-7,-0.413242501,-0.778519557,0.03,-0.826485002,23.77580368,16.77580368,2
2.98,-6.2,-0.424111637,-0.308394008,0.03,-0.848223274,23.23675123,17.03675123,2
3,-5.8,-0.425683684,0.151189304,0.03,-0.851367368,22.72158001,16.92158001,2
3.02,-5.5,-0.418192482,0.597930908,0.03,-0.836384963,21.95258036,16.45258036,2
3.04,-5,-0.401974216,1.023895624,0.03,-0.803948433,20.64389126,15.64389126,2
3.06,-3.1,-0.377669535,1.406572495,0.03,-0.75533907,17.62379588,14.52379588,2
3.08,-2.5,-0.346211942,1.739186796,0.03,-0.692423885,15.63763418,13.13763418,2
3.1,-5.2,-0.30819331,2.062676401,0.03,-0.616386621,16.7113263,11.5113263,2
3.12,-8.2,-0.263486209,2.408033743,0.03,-0.526972418,17.82440797,9.624407973,2
3.14,-9.7,-0.211827612,2.757825939,0.03,-0.423655224,17.15481155,7.454811553,2
3.16,-8.8,-0.153573297,3.067605601,0.03,-0.307146593,13.82315465,5.023154648,2
3.18,-6.3,-0.089969331,3.292791011,0.03,-0.179938661,8.69538642,2.39538642,2
3.2,-3.4,-0.022937553,3.410386725,0.03,-0.045875106,3.064184989,-0.335815011,2
3.22,-3.3,0.045598018,3.443170343,0.03,0.091196035,0.214176741,-3.085823259,2
3.24,-4.3,0.114331674,3.430195327,0.03,0.228663348,-1.511678325,-5.811678325,2
3.26,-4.1,0.182345227,3.37116,0.03,0.364690455,-4.391854389,-8.491854389,2
3.28,-3.2,0.248540952,3.248412445,0.03,0.497081904,-7.882901086,-11.08290109,2
3.3,-2.8,0.311648111,3.062303463,0.03,0.623296222,-10.72799709,-13.52799709,2
3.32,-2.8,0.370523168,2.825202196,0.03,0.741046335,-12.98212969,-15.78212969,2
3.34,-2.8,0.424227707,2.54525175,0.03,0.848455414,-15.01291484,-17.81291484,2
3.36,-2,0.471872618,2.219239384,0.03,0.943745237,-17.58832175,-19.58832175,2
3.38,-1.6,0.512551439,1.848642633,0.03,1.025102877,-19.47135339,-21.07135339,2
3.4,-3.2,0.545673232,1.463536723,0.03,1.091346464,-19.03923756,-22.23923756,2
3.42,-3.2,0.571050452,1.074185262,0.03,1.142100904,-19.89590862,-23.09590862,2
3.44,-2.6,0.588440999,0.664869397,0.03,1.176881997,-21.03567785,-23.63567785,2
3.46,-1.2,0.597371426,0.228173333,0.03,1.194742852,-22.63392857,-23.83392857,2
3.48,-0.2,0.597324754,-0.232840508,0.03,1.194649508,-23.46745546,-23.66745546,2
3.5,1.1,0.587899044,-0.709730514,0.03,1.175798088,-24.22154521,-23.12154521,2
3.52,4.9,0.568574394,-1.222734521,0.03,1.137148787,-27.07885542,-22.17885542,2
3.54,7.9,0.538541836,-1.78052127,0.03,1.077083671,-28.69981953,-20.79981953,2
3.56,8.4,0.497325191,-2.341143173,0.03,0.994650382,-27.3623708,-18.9623708,2
3.58,6.4,0.445455761,-2.845799862,0.03,0.890911522,-23.10329811,-16.70329811,2
3.6,4.1,0.384409132,-3.25886307,0.03,0.768818263,-18.20302265,-14.10302265,2
3.62,2.9,0.315996918,-3.582358253,0.03,0.631993837,-14.14649562,-11.24649562,2
3.64,3.8,0.241735821,-3.843751512,0.03,0.483471641,-11.9928303,-8.192830301,2
3.66,5.9,0.162574595,-4.07237109,0.03,0.325149189,-10.86912749,-4.969127489,2
3.68,9.2,0.078962055,-4.288882857,0.03,0.15792411,-10.78204925,-1.582049253,2
3.7,12.1,-0.008906957,-4.498018316,0.03,-0.017813913,-10.13149666,1.968503335,2
3.72,12.6,-0.100573852,-4.668671186,0.03,-0.201147703,-6.933790334,5.666209666,2
3.74,10.6,-0.194755785,-4.749522108,0.03,-0.389511569,-1.151301879,9.448698121,2
3.76,5.4,-0.289081058,-4.683005218,0.03,-0.578162116,7.802990925,13.20299093,2
3.78,0.5,-0.380332824,-4.442171409,0.03,-0.760665648,16.28038995,16.78038995,2
3.8,-1,-0.465443251,-4.068871285,0.03,-0.930886502,21.0496225,20.0496225,2
3.82,-2.7,-0.542151991,-3.602002746,0.03,-1.084303983,25.63723134,22.93723134,2
3.84,-2.3,-0.608858852,-3.068683361,0.03,-1.217717705,27.69470721,25.39470721,2
3.86,-0.1,-0.66471318,-2.51674938,0.03,-1.32942636,27.49869086,27.39869086,2
3.88,2.5,-0.709651826,-1.977115239,0.03,-1.419303652,26.46472324,28.96472324,2
3.9,4.5,-0.743985984,-1.456300565,0.03,-1.487971968,25.6167442,30.1167442,2
3.92,5,-0.767963621,-0.941463114,0.03,-1.535927242,25.86700092,30.86700092,2
3.94,4.5,-0.781535313,-0.415706097,0.03,-1.563070626,26.70870074,31.20870074,2
3.96,4.6,-0.78452571,0.116666421,0.03,-1.569051419,26.52855108,31.12855108,2
3.98,4.9,-0.776966583,0.639246222,0.03,-1.553933166,25.72942898,30.62942898,2
4,3.7,-0.759006378,1.156774318,0.03,-1.518012756,26.02338062,29.72338062,2
4.02,0.9,-0.730518193,1.692044211,0.03,-1.461036385,27.50360872,28.40360872,2
4.04,-0.8,-0.691182059,2.24156919,0.03,-1.382364117,27.44888916,26.64888916,2
4.06,-1.7,-0.640989765,2.77766018,0.03,-1.28197953,26.16020986,24.46020986,2
4.08,-3.1,-0.580324227,3.288893568,0.03,-1.160648455,24.9631289,21.8631289,2
4.1,-3.8,-0.509781495,3.765379686,0.03,-1.01956299,22.68548293,18.88548293,2
4.12,-1.4,-0.430507728,4.161997004,0.03,-0.861015456,16.97624881,15.57624881,2
4.14,1.6,-0.344526929,4.436082908,0.03,-0.689053858,10.43234166,12.03234166,2
4.16,2.6,-0.254185788,4.59803121,0.03,-0.508371575,5.762488526,8.362488526,2
4.18,0,-0.16118592,4.701955576,0.03,-0.322371839,4.629948052,4.629948052,2
4.2,-1.5,-0.066448744,4.771762013,0.03,-0.132897488,2.350695626,0.850695626,2
4.22,-1.4,0.029066923,4.779804686,0.03,0.058133846,-1.54642827,-2.94642827,2
4.24,-2.9,0.124128141,4.726317137,0.03,0.248256283,-3.802326657,-6.702326657,2
4.26,-5,0.217736484,4.634517155,0.03,0.435472969,-5.377671537,-10.37767154,2
4.28,-4.1,0.308904836,4.482317978,0.03,0.617809671,-9.842246184,-13.94224618,2
4.3,-1.9,0.396024549,4.229653347,0.03,0.792049098,-15.42421694,-17.32421694,2
4.32,-0.4,0.477072334,3.875125149,0.03,0.954144668,-20.02860285,-20.42860285,2
4.34,2.4,0.550014517,3.419093211,0.03,1.100029035,-25.57459092,-23.17459092,2
4.36,7.4,0.612551768,2.834631875,0.03,1.225103537,-32.87154274,-25.47154274,2
4.38,12.5,0.661986969,2.108888153,0.03,1.323973937,-39.70282946,-27.20282946,2
4.4,14,0.695967376,1.289152628,0.03,1.391934753,-42.27072299,-28.27072299,2
4.42,13.5,0.713308727,0.44498241,0.03,1.426617454,-42.14629888,-28.64629888,2
4.44,11.7,0.713988257,-0.377029388,0.03,1.427976514,-40.05488086,-28.35488086,2
4.46,8.9,0.698807613,-1.141035015,0.03,1.397615226,-36.34568181,-27.44568181,2
4.48,6.1,0.669143687,-1.825357569,0.03,1.338287374,-32.08657359,-25.98657359,2
4.5,6.7,0.626353947,-2.453616494,0.03,1.252707893,-30.73931899,-24.03931899,2
4.52,8,0.571244999,-3.057278254,0.03,1.142489998,-29.62685693,-21.62685693,2
4.54,6.9,0.504570042,-3.610217421,0.03,1.009140085,-25.66705985,-18.76705985,2
