t,ytt,xt,xtt,x,xtt+ytt,f
2.46,2.6,2.58910347,-19.87474239,0.41285022,-17.27474239,0.825700439
2.48,7.5,2.12574199,-26.46140561,0.459998674,-18.96140561,0.919997348
2.5,10.1,1.558110531,-30.30174027,0.496837199,-20.20174027,0.993674399
2.52,10.3,0.942524321,-31.25688081,0.521843548,-20.95688081,1.043687096
2.54,8.8,0.329674653,-30.02808595,0.534565538,-21.22808595,1.069131075
2.56,8.7,-0.267878307,-29.72721001,0.535183501,-21.02721001,1.070367002
2.58,8.7,-0.85577022,-29.06198132,0.523947016,-20.36198132,1.047894032
2.6,8.2,-1.420891489,-27.45014561,0.501180399,-19.25014561,1.002360798
2.62,7.6,-1.948602747,-25.32098014,0.467485456,-17.72098014,0.934970913
2.64,5,-2.410075268,-20.82627199,0.423898676,-15.82627199,0.847797353
2.66,2,-2.774756993,-15.64190049,0.372050354,-13.64190049,0.744100707
2.68,-1,-3.033688034,-10.2512036,0.313965903,-11.2512036,0.627931807
2.7,-2.6,-3.197494845,-6.129477492,0.251654075,-8.729477492,0.503308149
2.72,-3.8,-3.282184374,-2.339475469,0.186857282,-6.139475469,0.373714565
2.74,-5,-3.290990829,1.458830042,0.12112553,-3.541169958,0.242251061
2.76,-6.3,-3.223351629,5.305089984,0.055982106,-0.994910016,0.111964212
2.78,-5.7,-3.098760826,7.153990314,-0.007239019,1.453990314,-0.014478037
2.8,-5,-2.939443754,8.777716813,-0.067621065,3.777716813,-0.135242129
2.82,-4.1,-2.75113383,10.05327563,-0.12452684,5.953275626,-0.249053681
2.84,-1.6,-2.55486102,9.574005326,-0.177586789,7.974005326,-0.355173578
2.86,0.5,-2.36566868,9.345228757,-0.226792086,9.845228757,-0.453584172
2.88,0.8,-2.164637046,10.75793463,-0.272095143,11.55793463,-0.544190286
2.9,0.3,-1.929204078,12.78536219,-0.313033554,13.08536219,-0.626067109
2.92,-1.7,-1.640492652,16.08578033,-0.348730522,14.38578033,-0.697461043
2.94,-4.7,-1.278617101,20.1017748,-0.377921619,15.4017748,-0.755843238
2.96,-7,-0.846818564,23.07807895,-0.399175976,16.07807895,-0.798351952
2.98,-6.2,-0.390095648,22.59421262,-0.411545118,16.39421262,-0.823090236
3,-5.8,0.0574149,22.15684222,-0.414871925,16.35684222,-0.829743851
3.02,-5.5,0.493731035,21.47477122,-0.409360466,15.97477122,-0.818720932
3.04,-5,0.911106911,20.26281643,-0.395312087,15.26281643,-0.790624173
3.06,-3.1,1.287266322,17.3531247,-0.373328354,14.2531247,-0.746656709
3.08,-2.5,1.615630734,15.48331641,-0.344299384,12.98331641,-0.688598767
3.1,-5.2,1.937059842,16.65959447,-0.308772478,11.45959447,-0.617544956
3.12,-8.2,2.282292897,17.86371098,-0.266578951,9.663710983,-0.533157901
3.14,-9.7,2.633833749,17.2903742,-0.217417684,7.590374197,-0.434835368
3.16,-8.8,2.947425095,14.06876037,-0.161605096,5.268760371,-0.323210191
3.18,-6.3,3.178743111,9.063041266,-0.100343414,2.763041266,-0.200686827
3.2,-3.4,3.304931694,3.555817075,-0.035506666,0.155817075,-0.071013331
3.22,-3.3,3.348616195,0.812632985,0.031028813,-2.487367015,0.062057627
3.24,-4.3,3.348430673,-0.831185204,0.097999282,-5.131185204,0.195998564
3.26,-4.1,3.303713933,-3.640488817,0.164520728,-7.740488817,0.329041456
3.28,-3.2,3.196645405,-7.066363938,0.229524321,-10.26636394,0.459048643
