t,ytt,xt,x,xtt,xtt+ytt,f,h,K,
2.52,10.3,0.26526265917763114,0.41715244398786266,-27.058407694397342,-16.75840769439734,0.8343048879757253,0.03,2,
2.54,8.8,-0.2506848816215208,0.4172982217634238,-24.536346385517852,-15.736346385517852,0.8345964435268476,0.03,2,
2.56,8.7,-0.7398364253495047,0.40739300869371353,-24.37880798728054,-15.678807987280539,0.8147860173874271,0.03,2,
2.58,8.7,-1.2125534955343347,0.38786910948487513,-22.892899031202464,-14.192899031202465,0.7757382189697503,0.03,2,
2.6,8.2,-1.649125461698413,0.35925231991254764,-20.764297585205384,-12.564297585205384,0.7185046398250953,0.03,2,
2.62,7.6,-2.040133349846367,0.3223597317970998,-18.33649122958999,-10.736491229589989,0.6447194635941996,0.03,2,
2.64,5,-2.352428555355943,0.2784341127450767,-12.89302932136763,-7.89302932136763,0.5568682254901534,0.03,2,
2.66,2,-2.560448025912067,0.2293053469323966,-7.90891773424476,-5.90891773424476,0.4586106938647932,0.03,2,
2.68,-1,-2.666192258932084,0.1770389440839551,-2.665505567756928,-3.665505567756928,0.3540778881679102,0.03,2,
2.7,-2.6,-2.6879682421159785,0.12349733907347447,0.48790724936746854,-2.1120927506325318,0.24699467814694895,0.03,2,
2.72,-3.8,-2.6446781618799187,0.0701708750335155,3.8411007742385253,0.04110077423852543,0.140341750067031,0.03,2,
2.74,-5,-2.5366027793451518,0.018358065621264796,6.966437479238179,1.966437479238179,0.03671613124252959,0.03,2,
2.76,-6.3,-2.365859853817344,-0.030666560710360162,10.107855073542613,3.807855073542613,-0.061333121420720324,0.03,2,
2.78,-5.7,-2.1615701528291438,-0.07594086077682505,10.321115025277384,4.621115025277384,-0.1518817215536501,0.03,2,
2.8,-5,-1.9451248478357335,-0.11700781078347382,11.323415474063644,6.323415474063644,-0.23401562156694763,0.03,2,
2.82,-4.1,-1.7172108949610816,-0.153631168211442,11.467979813401534,7.367979813401535,-0.307262336422884,0.03,2,
2.84,-1.6,-1.5077838098970064,-0.18588111526002285,9.474728693005982,7.8747286930059825,-0.3717622305200457,0.03,2,
2.86,0.5,-1.325901554703409,-0.214217968906027,8.713496826353769,9.213496826353769,-0.428435937812054,0.03,2,
2.88,0.8,-1.1408768359017927,-0.23888575281207905,9.788975053807858,10.588975053807859,-0.4777715056241581,0.03,2,
2.9,0.3,-0.9328498713454059,-0.25962301988455105,11.013721401830821,11.313721401830822,-0.5192460397691021,0.03,2,
2.92,-1.7,-0.6827317537326302,-0.27577883613533144,13.99809035944675,12.29809035944675,-0.5515576722706629,0.03,2,
2.94,-4.7,-0.36964096368819777,-0.2863025633095397,17.310988644996492,12.610988644996493,-0.5726051266190794,0.03,2,
2.96,-7,-0.005752176195491232,-0.2900564947083766,19.07789010427416,12.07789010427416,-0.5801129894167532,0.03,2,
2.98,-6.2,0.3519989719636581,-0.28659402675069495,16.697224711640775,10.497224711640776,-0.5731880535013899,0.03,2,
3,-5.8,0.6808984953293711,-0.2762650520777647,16.19272762493052,10.392727624930519,-0.5525301041555294,0.03,2,
3.02,-5.5,0.9902191673713598,-0.25955387545075737,14.739339579268357,9.239339579268357,-0.5191077509015147,0.03,2,
3.04,-5,1.2684940118226282,-0.23696674365881748,13.088144865858467,8.088144865858467,-0.47393348731763496,0.03,2,
3.06,-3.1,1.4925246252017959,-0.20935655728857325,9.314916472058293,6.2149164720582935,-0.4187131145771465,0.03,2,
3.08,-2.5,1.6662293523905949,-0.17776901751264937,8.055556246821604,5.555556246821604,-0.35553803502529874,0.03,2,
