t,ytt,x,xt,xtt,xtt_ytt,f,
43.84,-20.9,-0.7235869187428141,-30.728423877404182,42.866608336649875,21.966608336649877,-2.167374887222949,
43.86,-20.8,-1.3243787932689295,-29.2735110511864,42.260127436160595,21.460127436160594,-2.640646557162157,
43.88,-11.3,-1.8915524503235395,-27.37158929423969,50.46238194277131,39.162381942771304,-3.0874355954318395,
43.9,-4.4,-2.418361996599411,-25.24269843858424,67.3514297063402,62.9514297063402,-3.502427948486808,
43.92,-1.3,-2.900096484272107,-22.870322762891337,80.84779160215037,79.54779160215037,-3.8819125838740587,
43.94,0.1,-3.331514729453307,-20.21804919357126,89.65624247908656,89.75624247908655,-4.22176077756043,
43.96,-2.7,-3.7071115536888404,-17.295867754526515,95.79494576032475,93.09494576032475,-4.5176358447291145,
43.98,-10.5,-4.021125515228715,-14.068253050449702,96.66092119623578,86.16092119623578,-4.764999230060224,
44,-16.1,-4.266975125655481,-10.488847371472838,91.33435354189608,75.23435354189607,-4.958666389377841,
44.02,-16.3,-4.43864392423154,-6.6602495385754015,86.96036873480593,70.66036873480593,-5.093897877058384,
44.04,-4.1,-4.532839212165012,-2.7517944914443326,86.75160475047636,82.65160475047637,-5.168099881297942,
44.06,9.2,-4.55105393205742,0.9280933774948239,97.84754934426626,107.04754934426626,-5.1824484623398455,
44.08,20.7,-4.498647047127053,4.3014555162036325,107.80688089009787,128.50688089009788,-5.077634692479112,
44.1,22.2,-4.381906807986798,7.353364809380974,113.7591855337606,135.9591855337606,-4.854872336468787,
44.12,16.8,-4.205734906897541,10.237010323804117,107.53636360836778,124.33636360836778,-4.5187031797283135,
44.14,3.8,-3.97256788019759,13.045469676321572,92.2951005658904,96.09510056589039,-4.07377659233971,
44.16,-8.1,-3.6828339594431565,15.88621328061649,67.31101083900273,59.21101083900273,-3.520909720739218,
44.18,-17.8,-3.336555667171544,18.692507248393138,41.310100847638225,23.510100847638224,-2.8601455421685333,
44.2,-21,-2.9353006704188993,21.376800577580642,15.484424487464231,-5.515575512535769,-2.094475460491341,
44.22,-18.5,-2.4832208685066304,23.768665403165745,-5.645382483475181,-24.14538248347518,-1.231822081328171,
44.24,-14.2,-1.9876629244803916,25.71944636755968,-22.54655797329666,-36.74655797329666,-0.2862042209922032,
44.26,-8.5,-1.4580928331109109,27.16603706138824,-30.13343931698051,-38.633439316980514,0.2883643756404058,
44.28,-3.8,-0.9050765150843659,28.06167553504969,-33.063919822584836,-36.86391982258483,0.7084841909186019,
44.3,-1.9,-0.3395478899270158,28.416301003304227,-36.97807326396007,-38.87807326396007,1.1381094547507513,
44.32,-6.1,0.22820126466713514,28.284048342866075,-43.54197623163624,-49.64197623163624,1.5694216279676683,
44.34,-11.3,0.7896933896400049,27.791874177762637,-55.97636383482173,-67.27636383482174,1.995980411378542,
44.36,-16.4,1.3380244344592924,26.970087132109665,-69.0891315100766,-85.48913151007659,2.412540881208515,
44.38,-21.6,1.8667277977993093,25.832087180548903,-81.68836011342212,-103.28836011342213,2.814190438559745,
44.4,-26.4,2.3696938782983654,24.400116236252618,-93.89081727555798,-120.29081727555797,3.196287693093777,
44.42,-26,2.841203511816893,22.690931611079584,-105.11705783661637,-131.11705783661637,3.5544878649125504,
44.44,-25.9,3.2749591933568687,20.630132646604793,-110.44459830115076,-136.34459830115077,3.8840068155553333,
44.46,-28.2,3.6643302301893734,18.2587000167294,-115.28945654848961,-143.4894565484896,4.179807287867797,
44.48,-22.6,4.003970863153776,15.663919050804505,-121.70437530101553,-144.30437530101554,4.437828173202912,
44.5,-10.9,4.2882598174682105,12.731242886422008,-119.26187680476433,-130.16187680476432,4.653799057024967,
44.52,1,4.5097023372774325,9.388064153129687,-109.62220007695294,-108.62220007695294,4.82202626386215,
44.54,10.9,4.660595227334924,5.686017509753766,-98.58929659462416,-87.68929659462415,4.936657769355453,
44.56,12.9,4.734760305528313,1.7257073050716958,-88.3084475185784,-75.4084475185784,4.993000083198721,
44.58,3.1,4.729242726066604,-2.2717130289780085,-84.5836302498525,-81.48363024985251,4.981964924275303,
44.6,-7.6,4.646282752874035,-6.008665869155873,-89.91191193135404,-97.51191193135404,4.826795569796482,
44.62,-12.1,4.491844935577574,-9.4105101956733,-93.62753173455269,-105.72753173455268,4.537933176345797,
44.64,-11.1,4.271915629307286,-12.549524626527242,-88.82426024146787,-99.92426024146786,4.126574696205974,
44.66,-1.9,3.991137219540594,-15.487663583858305,-76.3501401878226,-78.25014018782261,3.6014033042871754,
44.68,8.9,3.6523464570890742,-18.34322759394948,-53.565307467895536,-44.66530746789554,2.96772489420665,
44.7,17.3,3.2573218235663295,-21.103768141607222,-27.14011741882512,-9.84011741882512,2.2288659598543443,
44.72,23.4,2.8088721378046366,-23.678933590086864,-1.2123346856966535,22.187665314303345,1.3900801505297902,
44.74,36,2.3115597053831904,-25.983950697879724,24.117639556341096,60.117639556341096,0.45990085871631836,
44.76,47.1,1.7698423169988893,-28.11380442792983,51.18530150839535,98.28530150839535,-0.23236224813933531,
44.78,46.3,1.18784901029251,-30.006539170410473,72.02210187281311,118.3221018728131,-0.6894857462180048,
44.8,30.5,0.5729796067872838,-31.397717257952653,81.279532642503,111.779532642503,-1.1724315968885126,
44.82,8.1,-0.061551634669267136,-31.971163025573972,75.53352380530539,83.63352380530539,-1.6708207319394366,
44.84,-10.8,-0.698024808075631,-31.592851480181572,62.85881873375652,52.058818733756524,-2.1707351469475356,
44.86,-24,-1.3182082704324822,-30.345428854407224,53.10390992960332,29.10390992960332,-2.6578548964296944,
44.88,-35.4,-1.906094477789343,-28.36829470819042,48.27316794867916,12.87316794867916,-3.1196069414832817,
44.9,-35.9,-2.447794976136623,-25.733763886923338,44.27852749202619,8.378527492026194,-3.545082670949696,
44.92,-32.3,-2.932780668299625,-22.704775367805123,50.15587051812369,17.855870518123695,-3.9260120623447508,
44.94,-37.3,-3.3544756954783703,-19.41335824201436,59.05301834588957,21.753018345889572,-4.25723014290522,
44.96,-34.1,-3.706449357744772,-15.742293577377326,58.12607855427022,24.02607855427022,-4.533685954119473,
44.98,-30.4,-3.983339280712242,-11.915063874199419,64.17616351413659,33.77616351413659,-4.751167647999984,
45,-25.9,-4.182732282369825,-8.00290908397223,69.49271594810384,43.59271594810384,-4.907779803775351,
