t,ytt,xtt,xtt+ytt,xt,x,f,
27.02,-46.5,166.16542153281935,119.66542153281935,-15.6377954678759,-2.901097526985878,-5.802195053971756,
27.04,-37,166.46232814717138,129.46232814717138,-12.311517971075993,-3.1805906613753967,-6.361181322750793,
27.06,-21.4,158.1276386340266,136.7276386340266,-9.065618303264014,-3.394362024118797,-6.788724048237594,
27.08,-10.5,152.02061779870039,141.52061779870039,-5.9641357389367435,-3.5446595645408046,-7.089319129081609,
27.1,-13.4,157.2107759497458,143.8107759497458,-2.8718218014522816,-3.633019139944695,-7.26603827988939,
27.12,-29.7,173.14609754204463,143.44609754204464,0.431746933465623,-3.657419888624562,-7.314839777249124,
27.14,-49.4,189.62858148958216,140.22858148958215,4.059493723781891,-3.612507482052087,-7.225014964104174,
27.16,-55.5,189.6098825391648,134.1098825391648,7.851878364069361,-3.4933937611735746,-6.986787522347149,
27.18,-55,180.11099121112088,125.11099121112088,11.549087101572217,-3.299384106517159,-6.598768213034318,
27.2,-46.2,159.6732419625011,113.47324196250109,14.946929433308437,-3.0344239411683525,-6.068847882336705,
27.22,-31.1,130.67029255941586,99.57029255941586,17.850364778527606,-2.706450999049992,-5.412901998099984,
27.24,-17.6,101.41778177600428,83.81778177600427,20.171245521881808,-2.326234896045898,-4.652469792091796,
27.26,-18.7,85.21204333279958,66.51204333279958,22.037543772969848,-1.9041470030973813,-3.8082940061947625,
27.28,-35.2,83.00810296348102,47.80810296348102,23.719745235932653,-1.4465741130083563,-2.8931482260167125,
27.3,-50.1,77.95791187057655,27.85791187057655,25.32940538427323,-0.9560826068062974,-1.9121652136125948,
27.32,-59.3,66.10461515949773,6.804615159497729,26.770030654573972,-0.4350882464178254,-0.8701764928356508,
27.34,-65.4,50.245074088787696,-15.15492591121231,27.933527547056826,0.1119473355984826,0.2238946711969652,
27.36,-68.2,30.45916142174457,-37.740838578255435,28.74056990216215,0.6786883100906723,1.3573766201813446,
27.38,-67.4,6.788510917992374,-60.61148908200763,29.11304662555952,1.257224475367889,2.514448950735778,
27.4,-61.4,-21.948355810425458,-83.34835581042546,28.961448176635187,1.8379694233898358,3.6759388467796716,
27.42,-56.4,-49.146140096875655,-105.54614009687566,28.250503217562176,2.4100889373318095,4.820177874663619,
27.44,-52.4,-74.38844755921716,-126.78844755921716,27.01515734100125,2.962745542917444,5.925491085834888,
27.46,-50.6,-96.11039655824408,-146.71039655824407,25.310168899826635,3.4859988053257225,6.971997610651445,
27.48,-46.5,-118.44040206123343,-164.94040206123344,23.16466091363186,3.9707471034603072,7.9414942069206145,
27.5,-38.5,-142.60745339104602,-181.10745339104602,20.554182359109063,4.407935536187717,8.815871072375433,
27.52,-29.3,-165.5572182489608,-194.8572182489608,17.472535642708994,4.788202716205897,9.576405432411795,
27.54,-20.9,-184.96520817856103,-205.86520817856103,13.967311378433775,5.102601186417325,10.20520237283465,
27.56,-13.3,-200.5533804418632,-213.8533804418632,10.112125492229532,5.343395555123958,10.686791110247915,
27.58,-9.9,-208.75015044793088,-218.65015044793088,6.019090183331592,5.504707711879568,11.009415423759137,
27.6,-8,-212.145658137483,-220.145658137483,1.810132097477453,5.582999934687659,11.165999869375318,
27.62,-7.5,-210.82233585432837,-218.32233585432837,-2.41954784244066,5.576905777238027,11.153811554476054,
27.64,-9.6,-203.6516639007167,-213.2516639007167,-6.564287839991111,5.487067420413709,10.974134840827418,
27.66,-4.9,-200.06756024946696,-204.96756024946697,-10.601480081492948,5.315409741198868,10.630819482397737,
27.68,9,-202.47402013094637,-193.47402013094637,-14.626895885297081,5.063125981530968,10.126251963061936,
27.7,17.5,-196.37963115079296,-178.87963115079296,-18.615432398114475,4.730702698696852,9.461405397393705,
27.72,14.1,-175.5181135173195,-161.4181135173195,-22.3344098447956,4.321204276267752,8.642408552535503,
27.74,-0.6,-140.91069129261746,-141.51069129261745,-25.49869789289497,3.842873198890846,7.685746397781692,
27.76,-10.3,-109.28858835909814,-119.58858835909814,-28.000690689412124,3.307879313067775,6.61575862613555,
27.78,-11.2,-84.8837156113509,-96.0837156113509,-29.942413729116616,2.7284482688824876,5.456896537764975,
27.8,-9.8,-61.61178103614012,-71.41178103614013,-31.407368695591526,2.114950444635406,4.229900889270812,
27.82,-7.8,-38.1467736074242,-45.9467736074242,-32.404954242027166,1.476827215259219,2.953654430518438,
27.84,-3.2,-16.82877072591781,-20.02877072591781,-32.954709685360584,0.8232305759853414,1.6464611519706829,
27.86,2.1,3.900447898693077,6.000447898693077,-33.083992913632834,0.1628435499954073,0.3256870999908146,
27.88,-0.7,32.40972940978808,31.70972940978808,-32.72089114054802,-0.49520529054640133,-0.9904105810928027,
27.9,-13.9,70.47256153317889,56.57256153317889,-31.69206823111835,-1.139334884263065,-2.27866976852613,
27.92,-31.3,111.30678421703378,80.00678421703378,-29.87427477361622,-1.7549983143104109,-3.5099966286208217,
27.94,-32.2,133.81774930488012,101.61774930488012,-27.423029438397084,-2.327971356430544,-4.655942712861088,
27.96,-21.4,142.51523482136452,121.11523482136451,-24.659699597134637,-2.8487986467858613,-5.6975972935717225,
27.98,-9.9,148.22392237492244,138.32392237492243,-21.752308025171768,-3.3129187230089254,-6.625837446017851,
28,-9.9,162.9266574551826,153.0266574551826,-18.64080222687072,-3.71684982552935,-7.4336996510587,
28.02,-11.7,176.7611499403902,165.0611499403902,-15.24392415291499,-4.055697089327207,-8.111394178654415,
28.04,-6.9,181.22266939318973,174.32266939318973,-11.664085959579191,-4.324777190452149,-8.649554380904299,
28.06,5.7,175.12060436870317,180.82060436870316,-8.100653221960263,-4.5224245822675435,-9.044849164535087,
28.08,24.9,159.8107632326171,184.7107632326171,-4.75133954594706,-4.6509445099466165,-9.301889019893233,
28.1,40.1,146.0642606793797,186.16426067937968,-1.692589306827092,-4.715383798474358,-9.430767596948716,
28.12,42.9,142.38251023104164,185.28251023104164,1.1918784022771214,-4.720390907519858,-9.440781815039715,
28.14,39.1,143.02967826984718,182.12967826984718,4.0460002872860095,-4.668012120624226,-9.336024241248452,
28.16,32.4,144.309498417808,176.709498417808,6.919392054162561,-4.55835819720974,-9.11671639441948,
28.18,30,139.0871083445565,169.0871083445565,9.753358121786206,-4.391630695450253,-8.783261390900506,
28.2,30.6,128.77042645766355,159.37042645766354,12.431933469808406,-4.169777779534307,-8.339555559068614,
28.22,40.3,107.53595493964784,147.83595493964782,14.79499728378152,-3.897508471998408,-7.795016943996816,
28.24,54.7,80.1356614107108,134.8356614107108,16.671713447285107,-3.582841364687742,-7.165682729375484,
28.26,64.5,56.22493448104176,120.72493448104176,18.035319406202632,-3.2357710361528644,-6.471542072305729,
28.28,63.6,42.17865480523623,105.77865480523623,19.019355299065413,-2.8652242891001842,-5.7304485782003685,
28.3,64.9,25.413901686229288,90.31390168622929,19.69528086398007,-2.4780779274697293,-4.956155854939459,
28.32,65.1,9.463726597579605,74.5637265975796,20.044057146818158,-2.0806845473617472,-4.1613690947234945,
28.34,62.6,-3.8494171820318326,58.750582817968166,20.100200240973635,-1.6792419734838293,-3.3584839469676586,
28.36,59.7,-16.606823710948394,43.09317628905161,19.895637832043832,-1.2792835927536548,-2.5585671855073095,
28.38,58.3,-30.490277628260227,27.80972237173977,19.424666818651744,-0.886080546246699,-1.772161092493398,
28.4,48.9,-35.89834045157672,13.001659548423277,18.760780637853376,-0.5042260716816478,-1.0084521433632956,
28.42,27.3,-28.65819403398178,-1.3581940339817784,18.115215292997792,-0.1354661123731361,-0.2709322247462722,
28.44,2.5,-17.857038514413315,-15.357038514413315,17.65006296751384,0.22218667023198027,0.44437334046396054,
28.46,-7.5,-21.462904720583634,-28.962904720583634,17.25686353516387,0.5712559352587574,1.1425118705175148,
28.48,-4.6,-37.44913041783249,-42.049130417832494,16.66774318377971,0.9105020024481931,1.8210040048963863,
28.5,7.5,-61.824188532754356,-54.324188532754356,15.675009994273841,1.2339295342287286,2.4678590684574573,
28.52,8,-73.61110390183482,-65.61110390183482,14.32065706992795,1.5338862048707467,3.0677724097414933,
