t,ytt,xtt,xt,x,f
3.28,-3.2,-7.066363938,3.196645405,0.229524321,0.459048643
3.3,-2.8,-9.859702782,3.027384738,0.291764623,0.583529246
3.32,-2.8,-12.08069936,2.807980716,0.350118277,0.700236555
3.34,-2.8,-14.09576855,2.546216037,0.403660245,0.80732049
3.36,-2,-16.66874722,2.23857088,0.451508114,0.903016228
3.38,-1.6,-18.56433174,1.88624009,0.492756224,0.985512448
3.4,-3.2,-18.17013965,1.518895376,0.526807578,1.053615157
3.42,-3.2,-19.08190926,1.146374887,0.553460281,1.106920562
3.44,-2.6,-20.28324009,0.752723394,0.572451264,1.144902528
3.46,-1.2,-21.95160853,0.330374907,0.583282247,1.166564494
3.48,-0.2,-22.8665665,-0.117806843,0.585407928,1.170815855
3.5,1.1,-23.71405224,-0.58361303,0.578393729,1.156787458
3.52,4.9,-26.66444109,-1.087397964,0.561683619,1.123367238
3.54,7.9,-28.38103866,-1.637852761,0.534431112,1.068862223
3.56,8.4,-27.15919615,-2.193255109,0.496120033,0.992240066
3.58,6.4,-23.04004597,-2.69524753,0.447235007,0.894470013
3.6,4.1,-18.29296585,-3.108577649,0.389196755,0.77839351
3.62,2.9,-14.38632066,-3.435370514,0.323757273,0.647514546
3.64,3.8,-12.36738235,-3.702907544,0.252374493,0.504748985
3.66,5.9,-11.36055737,-3.940186941,0.175943548,0.351887095
3.68,9.2,-11.37405037,-4.167533019,0.094866348,0.189732696
3.7,12.1,-10.81226966,-4.389396219,0.009297056,0.018594111
3.72,12.6,-7.703640103,-4.574555316,-0.08034246,-0.160684919
3.74,10.6,-2.016696841,-4.671758686,-0.1728056,-0.345611199
3.76,5.4,6.834791104,-4.623577743,-0.265758964,-0.531517928
3.78,0.5,15.21524503,-4.403077382,-0.356025515,-0.71205103
3.8,-1,19.92060577,-4.051718874,-0.440573478,-0.881146955
3.82,-2.7,24.47706451,-3.607742171,-0.517168088,-1.034336176
3.84,-2.3,26.53194859,-3.09765204,-0.58422203,-1.168444061
3.86,-0.1,26.36947648,-2.568637789,-0.640884929,-1.281769857
3.88,2.5,25.39806251,-2.050962399,-0.68708093,-1.374161861
