t,ytt,x,xt,xtt,f
17.3,-47.3,0.084872765,-21.16870031,3.029769547,0.16974553
17.32,-70.7,-0.327043659,-19.97022865,-26.86023503,-0.654087318
17.34,-83.6,-0.707241522,-18.00198718,-35.99263457,-1.414483044
17.36,-78.9,-1.042765118,-15.50934174,-36.5863991,-2.085530237
17.38,-51.9,-1.327051227,-12.88514816,-21.65253105,-2.654102454
17.4,-21.3,-1.562331645,-10.6147784,13.78005831,-3.124663291
17.42,10.1,-1.756740404,-8.802785762,51.37190333,-3.513480807
17.44,47.3,-1.919867418,-7.490093829,88.71702652,-3.839734836
17.46,73.1,-2.063036604,-6.808836081,131.3122913,-4.126073208
17.48,93,-2.196681758,-6.538427688,162.286449,-4.393363516
17.5,90.9,-2.327866858,-6.562783915,187.3746112,-4.655733717
17.52,55,-2.45808574,-6.442115348,190.3699556,-4.91617148
17.54,-3.4,-2.577729835,-5.507720332,158.8410566,-5.15545967
17.56,-54.9,-2.666228818,-3.333262871,103.1151052,-5.332457637
17.58,-98.6,-2.700559383,-0.099340703,51.75126166,-5.401118766
17.6,-132.8,-2.661647535,3.980274277,4.977104856,-5.32329507
17.62,-146,-2.535156167,8.646345921,-35.97564176,-5.070312334
17.64,-146,-2.314303798,13.40383882,-59.68807641,-4.628607595
17.66,-143,-2.000645782,17.91500432,-73.77146787,-4.001291563
17.68,-145.5,-1.600404907,22.05119928,-88.13165301,-3.200809815
17.7,-143.7,-1.120617957,25.85955348,-111.0085983,-2.241235915
17.72,-133,-0.569282299,29.19724402,-132.2327374,-1.138564597
17.74,-123.1,0.041912887,31.83850255,-146.6574871,0.083825774
17.76,-124.6,0.698816392,33.76296063,-163.4165016,1.397632784
17.78,-122.2,1.389095448,35.17231203,-192.6989394,2.778190895
17.8,-77.4,2.101474115,35.97078089,-218.7235376,4.202948229
17.82,-24,2.815191263,35.30782144,-201.8500314,5.630382526
17.84,46.7,3.499480858,33.0339245,-174.6074629,6.998961716
17.86,97.9,4.119114398,28.85312407,-126.7934899,8.238228795
17.88,142.8,4.640590804,23.23294123,-75.53343718,8.342524077
17.9,176.6,5.037333348,16.39768425,-29.6228828,8.421872585
17.92,162.6,5.288388218,8.684454415,6.093811447,8.472083559
17.94,110.6,5.386977385,1.170931755,-5.462871671,8.491801393
17.96,58.6,5.345839699,-5.271185757,-53.41019984,8.409526021
17.98,6.6,5.187365569,-10.54873195,-97.16430392,8.092577761
18,-40.4,4.935620726,-14.5875374,-137.7032221,7.589088075
18.02,-57.4,4.614959354,-17.43281398,-170.9713746,6.947765332
18.04,-32.3,4.243664712,-19.64499563,-172.4792768,6.205176048
18.06,27.1,3.826328331,-22.03070931,-130.004104,5.370503284
18.08,118.7,3.353030059,-25.23279197,-50.71188042,4.423906741
18.1,167,2.801571462,-29.83469365,64.39370841,3.320989548
18.12,201.2,2.15337648,-34.89312322,140.1904036,2.024599583
18.14,222,1.402942921,-40.04497631,205.9585359,0.523732464
18.16,229.7,0.551888158,-44.94231882,262.2030859,-1.178377061
18.18,227.2,-0.391328643,-49.24979059,299.429097,-2.591915606
18.2,189.2,-1.412228229,-52.70144806,328.4304771,-4.121872362
18.22,148.6,-2.486119629,-54.54401971,322.8928439,-5.73124455
18.24,108.1,-3.580091635,-54.70897475,314.7167863,-7.370710255
18.26,67.6,-4.66066797,-53.20831013,305.6165358,-8.990100728
18.28,27.1,-5.694854152,-50.07811446,268.0192832,-9.196937965
18.3,-5.8,-6.650632382,-45.37980736,229.5213244,-9.388093611
18.32,-31.3,-7.498971448,-39.3500143,197.6972543,-9.557761424
18.34,-46.7,-8.215730951,-32.24052823,172.3466943,-9.701113325
18.36,-54,-8.782502034,-24.37186964,156.2178025,-9.814467541
18.38,-64.7,-9.186991671,-16.03433418,147.3714867,-9.895365469
18.4,-80.2,-9.420481184,-7.294871148,134.2985664,-9.942063371
18.42,-85.1,-9.475371982,1.801579615,115.5859855,-9.953041531
18.44,-68.5,-9.34808654,10.89877225,102.2313968,-9.698470646
18.46,-25.4,-9.044326601,19.42651608,103.6245514,-9.090950768
18.48,34.4,-8.582076293,26.72848823,125.7228621,-8.166450153
18.5,96,-7.990268485,32.36730368,160.0334429,-6.982834537
18.52,135.2,-7.303331742,36.23109178,193.0576535,-5.60896105
18.54,145.5,-6.552825455,38.71762208,201.6914531,-4.107948475
18.56,119.8,-5.760861117,40.37248534,180.1020855,-2.5240198
18.58,78,-4.937119535,41.8913347,121.3094786,-0.876536637
18.6,38.6,-4.081345876,43.57127425,45.09156637,0.835010683
18.62,5.1,-3.191069006,45.3370062,-9.185226217,1.554954804
18.64,-19.4,-2.266030904,47.04289707,-58.09433865,2.303009443
18.66,-37.3,-1.309487296,48.48374308,-98.4064411,3.076541779
18.68,-54.2,-0.328268021,49.50773976,-132.3552827,3.870028696
18.7,-68.1,0.668949803,50.08205756,-165.3899777,4.67645323
18.72,-78.8,1.672506437,50.14143378,-195.3317281,5.488003797
18.74,-83.4,2.671481346,49.62521184,-221.7833469,6.295849241
18.76,-82.5,3.653256716,48.42460427,-241.6024091,7.089785857
18.78,-69.9,4.603271651,46.45431673,-255.12433,7.858038622
18.8,-55,5.50414952,43.51857943,-255.7979298,8.5865555
18.82,-38.7,6.336632773,39.62506203,-242.7166205,8.753052151
18.84,-23.2,7.081947057,34.81430973,-227.5453925,8.902115007
18.86,-7.1,7.722709738,29.18469335,-212.4527068,9.030267543
18.88,10.7,8.243350839,22.81888888,-196.0082637,9.134395764
18.9,33.9,8.62984666,15.78865813,-177.0837535,9.211694928
18.92,60.7,8.868972708,8.102135005,-151.9300343,9.259520138
18.94,68.7,8.948128776,-0.186526172,-122.3177783,9.275351351
18.96,63.1,8.860352824,-8.568975897,-107.6924135,9.099799447
18.98,50.3,8.607803668,-16.64254602,-100.2785082,8.594701134
19,38.8,8.19935001,-24.13962924,-94.12707039,7.777793819
19.02,35.5,7.647415289,-30.97260105,-81.26159129,6.673924376
19.04,22.1,6.964691805,-37.2020487,-55.26030204,5.308477408
19.06,4.7,6.166214033,-42.53392172,-35.12759434,3.711521864
19.08,-10.6,5.27152634,-46.81170201,-15.59405482,1.92214648
19.1,-28.1,4.301914418,-50.01782992,8.593371331,-0.017077366
19.12,-46.1,3.279702199,-52.06626347,6.417426719,-0.754280882
19.14,-55.6,2.228409187,-52.92357889,3.706423969,-1.512457012
19.16,-53.2,1.170240979,-52.75416905,9.206227526,-2.275591427
19.18,-43,0.123284229,-51.80488927,26.15242509,-3.030640313
19.2,-36.3,-0.898605404,-50.2515166,50.31403933,-3.767611186
19.22,-33,-1.882922992,-48.05344077,70.19774521,-4.477485684
19.24,-26.7,-2.816474859,-45.18247295,85.70509582,-5.150748737
19.26,-17,-3.686886041,-41.74839132,103.1013114,-5.778475712
19.28,-5.2,-4.484140155,-37.8769457,122.6912091,-6.35344295
19.3,10.9,-5.200539547,-33.67397876,143.10511,-6.870099023
19.32,27.7,-5.830988775,-29.29346607,166.5285248,-7.324769177
19.34,40.4,-6.372775088,-24.81947543,189.3545285,-7.71549702
19.36,42.1,-6.823921368,-20.24152437,206.7510239,-8.040856683
19.38,27.8,-7.180883007,-15.413723,211.7125523,-8.298291853
19.4,12.1,-7.436247919,-10.09584078,199.0430331,-8.482457046
19.42,-9.3,-7.580797203,-4.347288408,183.2336271,-8.586703736
19.44,-24.9,-7.605708392,1.851654613,159.8513066,-8.604669298
19.46,-33.6,-7.504127732,8.284951898,137.8157669,-8.401507976
19.48,-40.3,-7.273767694,14.71264818,117.5983328,-7.940787902
19.5,-43.1,-6.916150975,20.99405332,94.41215663,-7.225554464
19.52,-46.6,-6.43596269,26.95407486,70.40820778,-6.265177893
19.54,-54.9,-5.840414124,32.5153979,41.3003234,-5.074080761
19.56,-71.7,-5.137379406,37.68902915,3.29521219,-3.668011325
19.58,-89.6,-4.333714829,42.56551165,-47.0705842,-2.06068217
19.6,-108.9,-3.435897795,47.0923212,-102.121547,-0.265048103
19.62,-113.9,-2.451338771,51.2287837,-161.8497889,1.704069946
19.64,-113.5,-1.391326232,54.62866682,-182.0286589,2.408107497
19.66,-114.2,-0.27216713,57.1367759,-197.2467706,3.151428926
19.68,-109.7,0.888170793,58.74226345,-213.7644712,3.922100442
19.7,-86.2,2.070390368,59.32334876,-224.9828575,4.707305282
19.72,-60.6,3.250176676,58.50102155,-216.6402687,5.490893998
19.74,-28.6,4.399241296,56.2570113,-205.2589457,6.254078028
19.76,10.4,5.488298516,52.51006993,-186.1243125,6.977406433
19.78,45.8,6.486558836,47.19124921,-158.2067148,7.640429488
19.8,66,7.364216669,40.46746242,-131.7783156,8.223350963
19.82,81,8.097328966,32.75696267,-118.2828906,8.710268398
19.84,77.2,8.668460334,24.29163999,-107.5792761,9.089601581
19.86,64.1,9.067630338,15.58376634,-113.3297468,9.354721721
19.88,56,9.29322437,6.956788839,-124.0680625,9.399840527
19.9,56.4,9.347219118,-1.553721152,-129.1728385,9.410639477
19.92,46.7,9.23158528,-9.983842698,-121.0297166,9.1793718
19.94,23.6,8.951266868,-18.00102036,-116.6407845,8.618734977
19.96,-3.6,8.51843516,-25.21610568,-119.9332505,7.75307156
19.98,-21.8,7.951046112,-31.44028841,-122.3871671,6.618293465
20,-45.1,7.268056571,-36.76207327,-111.6175552,5.252314382
20.02,-62.8,6.489324702,-41.00327727,-102.575557,3.694850645
20.04,-85.5,5.635961574,-44.21666775,-85.37471142,1.98812439
20.06,-100.2,4.729975496,-46.26011663,-71.53745259,0.176152232
20.08,-96.2,3.793436023,-47.2692858,-48.88390838,-1.696926712
20.1,-87.2,2.843411374,-47.6077026,-33.08800563,-2.288050842
20.12,-78.1,1.89234089,-47.37445038,-12.49477194,-2.879825711
20.14,-65.3,0.951573305,-46.57947514,7.860155646,-3.465189912
20.16,-44.3,0.031453188,-45.31301418,31.4837425,-4.037706851
20.18,-32.1,-0.860446051,-43.7614604,62.8532395,-4.5926642
20.2,-31.5,-1.716927629,-41.77645515,84.82432497,-5.12558398
20.22,-38.2,-2.52734527,-39.16192152,94.39232075,-5.629841868
20.24,-45.5,-3.278096633,-35.81859744,95.65274023,-6.096974217
20.26,-40.7,-3.955048672,-31.79256169,95.14937088,-6.518187166
20.28,-20.8,-4.547625499,-27.39265263,105.5687476,-6.886900191
20.3,0.5,-5.052069478,-22.99087997,130.004963,-7.200775213
20.32,24.1,-5.469315714,-18.68423661,154.8060676,-7.460394075
20.34,40.9,-5.802398754,-14.58537741,180.9518021,-7.667644931
20.36,49.3,-6.054754949,-10.62200772,199.3571175,-7.824665948
20.38,57,-6.228038175,-6.688451391,208.4024882,-7.932486199
20.4,73.4,-6.32332338,-2.832375048,215.8190865,-7.991774538
20.42,90.9,-6.344497126,0.713329534,231.142446,-8.004949262
20.44,98.1,-6.298529327,3.873426469,245.6363816,-7.913013664
20.46,91.8,-6.191558902,6.80584867,247.5078614,-7.699072814
20.48,79.6,-6.025900424,9.734511464,233.5638469,-7.367755857
20.5,66.1,-5.80091472,12.73067712,211.3522395,-6.91778445
20.52,51.6,-5.515467981,15.77259908,185.4364764,-6.346890971
20.54,37.3,-5.16892724,18.8320135,156.1022242,-5.65380949
20.56,25.5,-4.761465264,21.85674716,124.5759725,-4.838885538
20.58,19.2,-4.294748511,24.7498571,93.26005681,-3.905452032
20.6,20.4,-3.772954526,27.35757936,65.37736784,-2.861864062
20.62,24.3,-3.203682127,29.49204397,43.29872014,-1.723319264
20.64,29.4,-2.597247456,31.06961516,22.6629086,-0.510449921
20.66,35.3,-1.9652487,32.04584345,2.444568419,0.75354759
20.68,39.3,-1.319996447,32.39401008,-1.533754088,1.247339761
20.7,45.1,-0.67369748,32.15112013,-7.205064975,1.741932951
20.72,56,-0.038464366,31.2896591,-10.67602124,2.228057776
20.74,67.8,0.572481342,29.72645883,-8.415546776,2.695596179
20.76,70.2,1.145206129,27.47346517,-4.417667822,3.133885258
20.78,72.6,1.668175594,24.7580574,-8.893867755,3.534098084
20.8,75.9,2.132591816,21.6263715,-12.32863955,3.889501871
20.82,67.2,2.530463592,18.11285202,-13.71425481,4.193981192
20.84,45.7,2.857117213,14.51403772,-25.99190579,4.443959399
20.86,31.8,3.113968057,11.14147795,-50.10042428,4.640519636
20.88,23.7,3.304547185,7.895430283,-65.65554784,4.786364119
20.9,18.7,3.430734387,4.710684169,-74.46108847,4.882931395
20.92,15,3.493636716,1.575211201,-79.2292345,4.931068659
20.94,15.2,3.49447211,-1.48793051,-81.7870766,4.93170796
20.96,20.4,3.434389132,-4.508660694,-78.07630723,4.811542004
20.98,34.7,3.313713574,-7.539200308,-66.96974067,4.570190889
21,51.1,3.130914046,-10.71270075,-44.25672307,4.204591832
21.02,62.1,2.883219814,-14.01996039,-16.83133925,3.709203369
21.04,65.1,2.56955907,-17.30070227,7.788301164,3.08188188
21.06,60.4,2.192571533,-20.34460173,26.81869564,2.327906807
21.08,47.5,1.758996045,-22.9525968,40.21876078,1.460755831
21.1,30.4,1.279573899,-24.92403317,46.98880248,0.501911538
21.12,16.8,0.768152438,-26.14925446,50.54081004,-0.520931384
21.14,5.8,0.239115106,-26.6841694,46.75804893,-1.008062393
21.16,-4.7,-0.294199514,-26.57722724,45.41105574,-1.499131876
21.18,-14.5,-0.81910216,-25.84486565,44.17539216,-1.982455718
21.2,-22.5,-1.323369883,-24.51719947,43.04025153,-2.446779177
21.22,-31.2,-1.795693484,-22.65532998,42.92311684,-2.881688887
21.24,-42.6,-2.225568858,-20.27861153,41.14036588,-3.277512797
21.26,-58.4,-2.602560666,-17.37459725,35.49763755,-3.624642173
21.28,-71.8,-2.915729594,-13.9054352,24.08183323,-3.913004236
21.3,-83.5,-3.154824973,-9.977569231,13.54676903,-4.133160293
21.32,-84.7,-3.311652586,-5.689939804,3.080809674,-4.277565213
21.34,-80,-3.38180213,-1.321273592,1.508872663,-4.342158043
21.36,-71.6,-3.365520472,2.94193619,3.958906319,-4.309594725
21.38,-62,-3.266320282,6.959973286,6.927875497,-4.111194345
21.4,-53.1,-3.089965009,10.64770388,8.175406723,-3.7584838
21.42,-42.2,-2.843486035,13.9635807,6.094750717,-3.265525851
21.44,-20.7,-2.535223013,16.81855544,3.748714309,-2.648999808
21.46,9.6,-2.176933038,18.96058744,10.29646601,-1.932419858
21.48,37.5,-1.784930753,20.18650081,24.65867763,-1.148415287
21.5,52.3,-1.377208624,20.53160998,36.33235008,-0.33297103
21.52,57.9,-0.968783992,20.25743734,35.11175254,0.483878234
21.54,58,-0.570136021,19.55576821,34.16698677,0.828840834
21.56,56.9,-0.188587393,18.55013601,28.12888553,1.159006837
21.58,51.8,0.170194997,17.2824706,21.3784376,1.469472499
21.6,37.4,0.501979936,15.85414646,11.14969889,1.756576418
21.62,19.4,0.805639993,14.47362445,-7.916660909,2.019342996
21.64,10.5,1.083063578,13.2337759,-30.18790931,2.259406331
21.66,3.2,1.335439526,11.972185,-42.92312342,2.477795159
21.68,-1,1.562213998,10.67704046,-53.60839041,2.674030227
21.7,-4.7,1.762303941,9.307338296,-60.70975255,2.847174334
21.72,-8.7,1.934337987,7.875222145,-66.80836359,2.996040793
21.74,-14.3,2.077356265,6.409622939,-72.69873474,3.119798997
21.76,-21.7,2.191240388,4.965614471,-79.69960617,3.218346503
21.78,-29,2.277007197,3.601492109,-88.05032332,3.292563214
21.8,-32.1,2.336445453,2.336100678,-95.88854428,3.343997003
21.82,-32,2.370887473,1.105115451,-99.11277644,3.373800764
21.84,-32.3,2.380576044,-0.135973301,-98.71038705,3.382184587
21.86,-34.1,2.365584776,-1.359641618,-97.95724346,3.352202053
21.88,-36.3,2.326752831,-2.516986355,-97.78791102,3.274538163
21.9,-36.8,2.26566543,-3.582373359,-97.17463565,3.15236336
21.92,-37.2,2.183986343,-4.573537829,-94.07641433,2.989005186
21.94,-39.1,2.083332589,-5.477452049,-90.16199578,2.787697679
21.96,-41.7,1.965886141,-6.250761147,-87.13386518,2.552804782
21.98,-35.9,1.834513982,-6.868385798,-84.31466122,2.290060464
22,-23.1,1.690745885,-7.488719836,-72.60506383,2.00252427
22.02,-17.2,1.533230857,-8.241103408,-53.30297786,1.687494214
22.04,-17.4,1.360827613,-8.9756042,-40.31987032,1.342687726
22.06,-16.1,1.17522397,-9.559594988,-32.97237285,0.97148044
22.08,-13.7,0.979215896,-10.01483966,-23.76266104,0.579464292
22.1,-13.5,0.77522456,-10.35701244,-13.18040981,0.171481621
22.12,-20.4,0.565998084,-10.53786743,-4.652298906,-0.246971331
22.14,-26.4,0.356197992,-10.4146809,-7.595736536,-0.449765811
22.16,-25.2,0.151691514,-10.00955722,-9.846464561,-0.647443441
22.18,-20.2,-0.04339472,-9.474060409,-5.126081109,-0.836015386
22.2,-14.3,-0.227301076,-8.893098189,3.16384932,-1.013780769
22.22,-8.8,-0.399391296,-8.294024894,12.12149921,-1.180124579
22.24,-0.3,-0.559318715,-7.678439825,20.44085708,-1.334711727
22.26,5.2,-0.707448579,-7.115755824,31.5550599,-1.477895261
22.28,3.6,-0.844327245,-6.554798841,39.45524003,-1.610203296
22.3,-1.5,-0.968662954,-5.863275278,39.96687708,-1.730387207
22.32,-10.5,-1.077262366,-4.983477237,36.60728653,-1.835360284
22.34,-21.6,-1.165730771,-3.85313937,28.86914345,-1.920874565
22.36,-26,-1.228829287,-2.450170644,18.44416146,-1.981866106
22.38,-26.1,-1.262674518,-0.931806401,14.11752134,-2.014581182
22.4,-28.2,-1.266060084,0.591779819,13.50773974,-2.017853698
22.42,-31.4,-1.238723322,2.136356066,9.746236106,-1.963180174
22.44,-33.1,-1.180269597,3.699357017,3.649338079,-1.846272725
22.46,-30.5,-1.090876372,5.226278919,-2.155400982,-1.667486275
22.48,-26.6,-0.972360694,6.607951576,-4.755090731,-1.430454919
22.5,-28.7,-0.828097083,7.79792405,-6.998998859,-1.141927697
22.52,-38.6,-0.660902186,8.898174637,-16.11437355,-0.807537902
22.54,-45,-0.471185315,10.04709558,-33.93722838,-0.428104161
22.56,-44.4,-0.258853749,11.1567169,-49.13806002,-0.003441028
22.58,-42.1,-0.026260993,12.07079345,-58.06505272,0.461744485
22.6,-39.9,0.222208945,12.74264966,-60.70077569,0.698959623
22.62,-32,0.481637607,13.16553649,-63.5491576,0.946637095
22.64,-14.5,0.745855536,13.22140731,-60.64943191,1.198886896
22.66,5.4,1.005618909,12.7213662,-47.85618583,1.446883918
22.68,28.7,1.249437296,11.62975141,-32.139437,1.679658204
