t,acc
14.9,-12.4
14.92,5.2
14.94,19.9
14.96,20.5
14.98,7.9
15,-4.8
15.02,-10.5
15.04,-12.5
15.06,-12.9
15.08,-12.2
15.1,-5.1
15.12,6.8
15.14,15.1
15.16,16.7
15.18,26.3
15.2,44.2
15.22,51.8
15.24,38.2
15.26,12.1
15.28,-14.3
15.3,-25
15.32,-22.7
15.34,-11.9
15.36,-4.5
15.38,4.6
15.4,4.4
15.42,-1.8
15.44,-6.5
15.46,-8.3
15.48,3
15.5,15.5
15.52,13.9
15.54,3.8
15.56,-1.1
15.58,10.6
15.6,29.9
15.62,49
15.64,63.8
15.66,66.4
15.68,58.1
15.7,37.4
15.72,13.2
15.74,2.1
15.76,5.4
15.78,15
15.8,23.1
15.82,15.5
15.84,-1.3
15.86,-13.5
15.88,-13.5
15.9,-11.2
15.92,-15.5
15.94,-17.9
15.96,-7.8
15.98,5.2
16,6.7
16.02,-10.3
16.04,-14.3
16.06,-5
16.08,14.1
16.1,26.2
16.12,30.6
16.14,35.3
16.16,39.8
16.18,36.5
16.2,19.4
16.22,2.6
16.24,6.3
16.26,30.2
16.28,42.5
16.3,36.3
16.32,15.6
16.34,-8.6
16.36,-18.3
16.38,-22.1
16.4,-34.4
16.42,-44.3
16.44,-51.9
16.46,-50.5
16.48,-43.8
16.5,-41.8
16.52,-50.3
16.54,-67.1
16.56,-71.4
16.58,-42.2
16.6,-1
16.62,38.6
16.64,45
16.66,17.9
16.68,-11.3
16.7,-37.1
16.72,-52
16.74,-47.2
16.76,-12.4
16.78,22.9
16.8,19.2
16.82,-19.8
16.84,-59.6
16.86,-85.8
16.88,-97.8
16.9,-100.1
16.92,-91.5
16.94,-85.6
16.96,-84.8
16.98,-72.8
17,-42.1
17.02,-7.6
17.04,24.8
17.06,41
17.08,30.9
17.1,9.6
17.12,-6.7
17.14,-8.7
17.16,17.6
17.18,50.3
17.2,80.2
17.22,97.9
17.24,84.3
17.26,37.3
17.28,-1.6
17.3,-47.3
17.32,-70.7
17.34,-83.6
17.36,-78.9
17.38,-51.9
17.4,-21.3
17.42,10.1
17.44,47.3
17.46,73.1
17.48,93
17.5,90.9
17.52,55
17.54,-3.4
17.56,-54.9
17.58,-98.6
17.6,-132.8
17.62,-146
17.64,-146
17.66,-143
17.68,-145.5
17.7,-143.7
17.72,-133
17.74,-123.1
17.76,-124.6
17.78,-122.2
17.8,-77.4
17.82,-24
17.84,46.7
17.86,97.9
17.88,142.8
17.9,176.6
17.92,162.6
17.94,110.6
17.96,58.6
17.98,6.6
18,-40.4
18.02,-57.4
18.04,-32.3
18.06,27.1
18.08,118.7
18.1,167
18.12,201.2
18.14,222
18.16,229.7
18.18,227.2
18.2,189.2
18.22,148.6
18.24,108.1
18.26,67.6
18.28,27.1
18.3,-5.8
18.32,-31.3
18.34,-46.7
18.36,-54
18.38,-64.7
18.4,-80.2
18.42,-85.1
18.44,-68.5
18.46,-25.4
18.48,34.4
18.5,96
18.52,135.2
18.54,145.5
18.56,119.8
18.58,78
18.6,38.6
18.62,5.1
18.64,-19.4
18.66,-37.3
18.68,-54.2
18.7,-68.1
18.72,-78.8
18.74,-83.4
18.76,-82.5
18.78,-69.9
18.8,-55
18.82,-38.7
18.84,-23.2
18.86,-7.1
18.88,10.7
18.9,33.9
18.92,60.7
18.94,68.7
18.96,63.1
18.98,50.3
19,38.8
19.02,35.5
19.04,22.1
19.06,4.7
19.08,-10.6
19.1,-28.1
19.12,-46.1
19.14,-55.6
19.16,-53.2
19.18,-43
19.2,-36.3
19.22,-33
19.24,-26.7
19.26,-17
19.28,-5.2
19.3,10.9
19.32,27.7
19.34,40.4
19.36,42.1
19.38,27.8
19.4,12.1
19.42,-9.3
19.44,-24.9
19.46,-33.6
19.48,-40.3
19.5,-43.1
19.52,-46.6
19.54,-54.9
19.56,-71.7
19.58,-89.6
19.6,-108.9
19.62,-113.9
19.64,-113.5
19.66,-114.2
19.68,-109.7
19.7,-86.2
19.72,-60.6
19.74,-28.6
19.76,10.4
19.78,45.8
19.8,66
19.82,81
19.84,77.2
19.86,64.1
19.88,56
19.9,56.4
19.92,46.7
19.94,23.6
19.96,-3.6
19.98,-21.8
20,-45.1
20.02,-62.8
20.04,-85.5
20.06,-100.2
20.08,-96.2
20.1,-87.2
20.12,-78.1
20.14,-65.3
20.16,-44.3
20.18,-32.1
20.2,-31.5
20.22,-38.2
20.24,-45.5
20.26,-40.7
20.28,-20.8
20.3,0.5
20.32,24.1
20.34,40.9
20.36,49.3
20.38,57
20.4,73.4
20.42,90.9
20.44,98.1
20.46,91.8
20.48,79.6
20.5,66.1
20.52,51.6
20.54,37.3
20.56,25.5
20.58,19.2
20.6,20.4
20.62,24.3
20.64,29.4
20.66,35.3
20.68,39.3
20.7,45.1
20.72,56
20.74,67.8
20.76,70.2
20.78,72.6
