t [s],v [É m/sec]
4.94,31.049
4.95,29.315
4.96,27.192
4.97,23.848
4.98,20.125
4.99,15.857
5,10.819
5.01,5.359
5.02,0.016
5.03,-5.66
5.04,-11.426
5.05,-17.085
5.06,-22.252
5.07,-26.795
5.08,-30.026
5.09,-31.94
5.1,-32.787
5.11,-32.597
5.12,-30.378
5.13,-26.489
5.14,-20.666
5.15,-13.882
5.16,-6.518
5.17,0.713
5.18,8.002
5.19,14.974
5.2,21.556
5.21,27.81
5.22,33.015
5.23,36.902
5.24,40.07
5.25,41.921
5.26,42.206
5.27,40.684
5.28,37.832
5.29,33.36
5.3,27.354
5.31,19.922
5.32,12.337
5.33,4.955
5.34,-1.865
5.35,-8.533
5.36,-14.695
5.37,-20.41
5.38,-25.425
5.39,-29.682
5.4,-33.121
5.41,-35.693
5.42,-36.501
5.43,-35.772
5.44,-33.095
5.45,-29.464
5.46,-24.353
5.47,-18.997
5.48,-12.693
5.49,-6.025
5.5,0.39
5.51,5.853
5.52,10.7
5.53,14.948
5.54,18.362
5.55,20.51
5.56,21.272
5.57,21.121
5.58,20.071
5.59,17.89
5.6,14.874
5.61,11.758
5.62,8.224
5.63,4.663
5.64,1.159
5.65,-1.673
5.66,-4.481
5.67,-7.272
5.68,-9.369
5.69,-10.579
5.7,-11.282
5.71,-11.18
5.72,-10.281
5.73,-8.811
5.74,-6.949
5.75,-4.943
5.76,-3.165
5.77,-1.473
5.78,0.09
5.79,2.101
5.8,4.089
5.81,6.037
5.82,6.917
5.83,7
5.84,6.446
5.85,5.111
5.86,2.797
5.87,-0.081
5.88,-3.442
5.89,-7.765
5.9,-12.786
5.91,-16.734
5.92,-18.844
5.93,-19.68
5.94,-19.982
5.95,-20.4
5.96,-20.464
5.97,-19.316
5.98,-16.707
5.99,-13.096
6,-9.063
6.01,-5.41
6.02,-2.035
6.03,1.201
6.04,4.673
6.05,8.331
6.06,11.519
6.07,13.434
6.08,14.574
6.09,14.987
6.1,14.813
6.11,14.481
6.12,13.787
6.13,12.379
6.14,10.339
6.15,8.615
6.16,7.284
6.17,6.147
6.18,4.821
6.19,3.296
6.2,1.689
6.21,-0.66
6.22,-4.109
6.23,-6.832
6.24,-9.04
6.25,-10.631
6.26,-11.82
6.27,-12.437
6.28,-12.812
6.29,-12.956
6.3,-13.17
6.31,-12.168
6.32,-10.355
6.33,-8.305
6.34,-6.245
6.35,-4.011
6.36,-1.368
6.37,1.91
6.38,5.511
6.39,8.436
6.4,11.367
6.41,13.985
6.42,15.868
6.43,17.042
6.44,17.78
6.45,18.119
6.46,17.392
6.47,16.163
6.48,14.662
6.49,12.376
6.5,10.07
6.51,7.391
6.52,3.577
6.53,-0.155
6.54,-3.618
6.55,-6.507
6.56,-9.053
6.57,-10.942
6.58,-12.608
6.59,-13.948
6.6,-14.687
6.61,-14.873
6.62,-14.454
6.63,-14.208
6.64,-12.921
6.65,-10.457
6.66,-7.548
6.67,-4.126
6.68,-0.948
6.69,1.979
6.7,5.237
6.71,8.506
6.72,11.394
6.73,13.652
6.74,15.353
6.75,15.818
6.76,15.967
6.77,15.55
6.78,14.447
6.79,13.076
6.8,11.021
6.81,8.815
6.82,6.391
6.83,3.266
6.84,0.013
6.85,-3.035
6.86,-5.64
6.87,-7.903
6.88,-9.57
6.89,-11.221
6.9,-13.019
6.91,-14.354
6.92,-14.714
6.93,-14.006
6.94,-13.314
6.95,-11.644
6.96,-9.353
6.97,-6.626
6.98,-3.235
6.99,0.262
7,3.489
7.01,5.982
7.02,8.218
7.03,10.441
7.04,12.66
7.05,14.387
7.06,15.773
7.07,16.984
7.08,17.604
7.09,17.267
7.1,16.268
7.11,14.619
7.12,12.657
7.13,10.175
7.14,6.857
7.15,2.621
7.16,-1.786
7.17,-5.969
7.18,-9.692
7.19,-12.869
7.2,-15.595
7.21,-18.103
7.22,-19.902
7.23,-21.306
7.24,-21.95
7.25,-21.855
7.26,-20.717
7.27,-19.205
7.28,-17.948
7.29,-16.303
7.3,-14.036
7.31,-10.797
7.32,-6.384
7.33,-1.698
7.34,2.486
7.35,6.354
7.36,9.444
7.37,12.609
7.38,15.535
7.39,17.424
7.4,18.845
7.41,19.13
7.42,18.236
7.43,17.001
7.44,15.31
7.45,13.656
7.46,11.711
7.47,9.03
7.48,6.027
7.49,2.624
7.5,-1.024
7.51,-4.257
7.52,-7.927
7.53,-11.642
7.54,-15.355
7.55,-18.628
7.56,-20.751
7.57,-21.818
7.58,-22.863
7.59,-23.779
7.6,-23.573
7.61,-22.335
7.62,-20.22
7.63,-16.674
7.64,-11.933
7.65,-6.831
7.66,-1.62
7.67,3.898
7.68,9.657
7.69,15.294
7.7,21.247
7.71,26.184
7.72,29.528
7.73,31.524
7.74,32.509
7.75,33.149
7.76,33.236
7.77,31.672
7.78,28.931
7.79,24.455
7.8,18.603
7.81,12.346
7.82,5.31
7.83,-2.271
7.84,-10.045
7.85,-17.171
7.86,-23.733
7.87,-29.078
7.88,-33.551
7.89,-36.982
7.9,-39.05
7.91,-39.672
7.92,-39.347
7.93,-37.108
7.94,-33.221
7.95,-27.523
7.96,-20.344
7.97,-11.763
7.98,-3.018
7.99,5.51
8,13.746
8.01,21.285
8.02,28.452
8.03,34.899
8.04,40.617
8.05,44.821
8.06,47.252
8.07,48.698
8.08,49.61
8.09,49.279
8.1,46.842
8.11,42.235
8.12,35.894
8.13,27.939
8.14,18.597
8.15,8.363
8.16,-2.531
8.17,-13.672
8.18,-24.112
8.19,-33.169
8.2,-40.494
8.21,-46.184
8.22,-50.153
8.23,-52.907
8.24,-54.242
8.25,-53.852
8.26,-51.099
8.27,-46.304
8.28,-40.13
8.29,-32.315
8.3,-23.095
8.31,-13.975
8.32,-4.173
8.33,6.145
8.34,16.329
8.35,25.683
8.36,34.036
8.37,40.808
8.38,46.333
8.39,49.964
8.4,51.314
8.41,50.528
8.42,47.742
8.43,42.701
8.44,36.686
8.45,29.567
8.46,21.886
8.47,13.579
8.48,4.776
8.49,-3.68
8.5,-11.738
8.51,-19.017
8.52,-25.142
8.53,-30.346
8.54,-34.476
8.55,-36.859
8.56,-37.391
8.57,-36.876
8.58,-34.605
8.59,-31.166
8.6,-27.018
8.61,-22.294
8.62,-17.253
8.63,-11.902
